continent_tout,year,gdp_per_capita,lifeexp,total_ghg
Africa,1997,2977.300408368663,56.533529411764704,50.58529411764706
Africa,1998,3095.6495835634028,56.51019607843137,52.0664705882353
Africa,1999,3189.389233188423,56.52196078431373,51.97
Africa,2000,3281.492736468471,56.85941176470588,52.26705882352941
Africa,2001,3483.912484477497,57.166666666666664,53.73705882352941
Africa,2002,3610.5982784557573,57.418627450980395,54.615686274509805
Africa,2003,3752.083383280535,57.71901960784314,56.965490196078434
Africa,2004,3961.711166791497,58.21313725490196,58.20549019607843
Africa,2005,4166.8847727341345,58.76921568627451,60.28764705882353
Africa,2006,4393.6950119130715,59.43509803921569,60.4043137254902
Africa,2007,4706.875588350841,60.08764705882353,62.053333333333335
Africa,2008,4994.094825916183,60.74137254901961,63.96705882352941
Africa,2009,5046.127522620906,61.3,63.362156862745096
Africa,2010,5223.067156147794,61.86313725490196,65.94411764705882
Africa,2011,5046.048990956849,62.29235294117647,64.84509803921569
Africa,2012,5527.456224742495,62.89588235294118,67.17980392156862
Africa,2013,5259.672994762245,63.34450980392157,67.69254901960784
Africa,2014,5284.828289182998,63.58196078431372,68.62823529411764
Africa,2015,5282.320583968758,64.06686274509804,69.19372549019607
Africa,2016,5281.956164233274,64.53470588235294,71.20745098039215
Africa,2017,5425.081672800227,64.99,72.39333333333333
Africa,2018,5532.157898343028,65.44470588235293,73.27490196078432
Africa,2019,NA,65.8792156862745,74.40588235294118
Africa,2020,NA,65.87156862745098,NA
Africa,2021,NA,66.46686274509804,NA
Americas,1950,4198.603361877499,54.1840625,NA
Americas,1951,4351.859863338624,54.76125,NA
Americas,1952,4450.989493761293,55.5115625,NA
Americas,1953,4552.108642074173,56.3184375,NA
Americas,1954,4583.261562941673,57.0375,NA
Americas,1955,4771.790807347647,57.40125,NA
Americas,1956,4917.098291106742,58.0321875,NA
Americas,1957,5064.204773763247,58.3475,NA
Americas,1958,5088.456029643108,58.9921875,NA
Americas,1959,5126.496092905678,59.4740625,NA
Americas,1960,5288.674150057117,60.05375,NA
Americas,1961,5386.251088022035,60.5303125,NA
Americas,1962,5551.707663096847,61.060625,NA
Americas,1963,5669.206686437222,61.4,NA
Americas,1964,5897.419084732829,61.9271875,NA
Americas,1965,6076.8921515171905,62.1421875,NA
Americas,1966,6280.952040587557,62.6121875,NA
Americas,1967,6394.260395980921,62.9225,NA
Americas,1968,6589.336912196584,63.0759375,NA
Americas,1969,6802.477620625231,63.22375,NA
Americas,1970,6998.629097330493,63.4528125,NA
Americas,1971,7171.825945449802,64.3628125,NA
Americas,1972,7357.482473650493,64.430625,NA
Americas,1973,7640.381892657742,65.08875,NA
Americas,1974,7779.060748972959,65.47749999999999,NA
Americas,1975,7791.149055169034,66.1846875,NA
Americas,1976,8044.550582185087,66.2303125,NA
Americas,1977,8281.280202184733,67.045625,NA
Americas,1978,8544.444023055088,67.5175,NA
Americas,1979,8725.630204928088,67.7090625,NA
Americas,1980,8864.92276602054,68.2540625,NA
